Geneid	3FG1	3FG2	3FG3	3FS1	3FS2	3FS3	3MG1	3MG2	3MG3	3MS1	3MS2	3MS3	3WM1	3WM2	3WM3
remanei_genome_00016872	16367	13048	13656	18000	12173	15616	8440	4958	4974	13464	9276	4793	6113	5430	4444
remanei_genome_00016873	13691	13238	8773	11177	6805	8930	1494	771	1323	3328	2985	2618	8520	8119	8996
remanei_genome_00016874	7878	8192	4635	5726	4351	4064	2954	1648	2041	2248	3308	2603	4668	4035	4063
remanei_genome_00016875	1523	1203	312	1845	823	844	1309	1195	1538	1006	1613	1289	3470	2604	3219
remanei_genome_00016876	1720	1301	212	1836	850	935	849	858	1643	723	1404	1065	4060	2906	3698
remanei_genome_00016877	10683	8295	3813	6927	4419	4567	5883	4758	7508	3621	7370	6404	16371	12919	13174
remanei_genome_00016879	454	319	434	1754	1328	4166	532	385	400	2005	3113	1545	1828	1993	1470
remanei_genome_00016881	6117	4674	3392	6506	3801	6036	1770	953	1709	4343	4749	3748	14650	13655	12612
remanei_genome_00016882	1459	356	303	5577	1840	2452	1621	522	930	7852	4184	3214	15706	15461	11774
remanei_genome_00016884	27315	26685	16632	15884	13276	14724	11439	13260	17091	7463	20829	13911	33540	27704	27990
remanei_genome_00016878	78	87	120	218	125	255	73	19	55	344	386	227	1335	1344	1294
remanei_genome_00016880	10378	13082	12291	8727	9171	13668	208	43	192	613	193	521	359	707	1031
remanei_genome_00016883	24799	21687	12571	16834	10509	12173	5272	3331	5874	4809	8330	6677	18961	14454	15836
remanei_genome_00016889	20	21	1	30	5	29	8	2	2	4	42	8	124	144	160
remanei_genome_00016890	1762	894	843	7559	5031	10870	1709	1346	1553	11166	10348	8801	6434	7983	5726
remanei_genome_00016891	15449	10739	4946	10439	5237	5120	3408	2466	4277	1596	4145	3025	4350	2646	5424
remanei_genome_00016892	258	183	115	690	290	490	230	78	157	760	896	630	5835	5416	4643
remanei_genome_00016893	320	174	164	1233	710	1274	630	297	434	1803	1885	1442	7502	5680	5205
remanei_genome_00016895	8276	9090	8605	5783	4695	5963	2264	1185	1415	2064	2869	1663	3100	2545	2435
remanei_genome_00016885	442	77	36	2178	623	1080	445	107	120	3654	3327	896	2817	2130	2191
remanei_genome_00016886	956	411	333	2875	1574	2219	1327	801	916	4725	3641	2543	12149	10913	9409
remanei_genome_00016887	509	16	68	231	117	124	13837	11820	9205	3375	5793	2539	3704	2402	2199
remanei_genome_00016888	1859	1635	1777	9455	6416	18796	1657	1101	1215	15130	12424	9706	7861	9216	8044
remanei_genome_00016894	21850	18314	20515	17748	20023	27846	31811	30225	26365	14130	31916	19015	24008	19254	17487
remanei_genome_00016896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
remanei_genome_00016899	42776	36761	26279	27685	20184	24190	16237	11094	16895	10646	21938	16864	28535	22132	24619
remanei_genome_00016900	723	417	219	1208	851	1118	428	290	395	1499	2009	1173	3094	3022	2527
remanei_genome_00016902	55684	66594	32033	28335	25387	23608	3657	4245	7294	2288	6311	4979	8360	4978	9677
remanei_genome_00016903	51831	58676	44575	32717	31137	31808	7705	3564	5599	3671	3746	3827	4526	4928	7354
remanei_genome_00016905	37520	40890	39042	33584	42853	91655	62461	72618	68214	26884	103513	42483	57174	51787	43902
remanei_genome_00016910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
remanei_genome_00016911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
remanei_genome_00016897	31672	33293	25236	21753	19123	19107	3558	1580	3060	1944	2326	2440	3127	3224	4659
remanei_genome_00016898	18423	16666	14679	10672	9685	9283	2339	1330	1994	2031	1884	2064	2501	2489	2815
remanei_genome_00016901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
remanei_genome_00016904	3238	468	849	728	273	287	85020	78275	91259	23155	49310	33098	41202	32552	19063
remanei_genome_00016906	9908	10984	6416	5717	4939	5984	1464	1304	2009	1396	3522	1862	8648	6806	6759
remanei_genome_00016907	1555	933	763	652	575	835	22426	23448	15306	6245	10041	5021	6414	5752	4811
remanei_genome_00016908	71	75	30	186	82	160	378	262	457	424	490	390	586	513	402
remanei_genome_00016909	3	5	3	7	14	31	5	0	0	37	38	36	4	21	14
remanei_genome_00016912	1069	1164	958	2130	2166	4383	578	599	639	2044	5373	2702	9861	7934	7143
remanei_genome_00016916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
remanei_genome_00016917	399	469	252	515	259	384	196	130	232	345	569	390	3948	3268	4346
remanei_genome_00016913	11661	10710	4651	5779	4916	4035	6146	5035	8071	2502	6298	5087	14296	9198	12330
remanei_genome_00016914	16729	13995	10745	10147	7164	8835	3284	1710	3143	3268	6096	4583	10977	7972	8480
remanei_genome_00016915	11634	9465	2038	9037	4932	5321	1345	1316	2554	1827	5288	3791	16744	10668	14667
remanei_genome_00016918	7028	7411	7569	7258	5391	9890	1555	850	1075	1320	1412	689	791	878	935
remanei_genome_00016919	2200	1675	334	1803	839	929	779	668	1393	474	1035	969	3028	2015	2460
remanei_genome_00016920	1033	763	138	741	378	489	405	323	565	235	497	387	1179	825	1068
remanei_genome_00016921	7241	5369	4807	3839	2498	3246	3563	2547	4263	1533	3563	2895	5721	4095	4368
remanei_genome_00016924	577	5	64	130	6	10	12919	13434	11822	3098	6746	3465	3482	2734	2189
remanei_genome_00016926	764	608	890	327	321	409	272	182	159	197	355	170	521	333	416
remanei_genome_00016928	2620	2051	1156	2748	1624	1899	1719	1008	1425	3385	2797	2451	5327	4845	4280
remanei_genome_00016922	19083	14792	9853	11516	7339	7239	3259	2389	3316	2805	5302	4237	8555	6340	6749
remanei_genome_00016923	7141	7700	3138	4761	3924	4646	1732	1796	2284	1659	3623	1973	5923	4836	4815
remanei_genome_00016925	1010	38	107	188	22	44	20281	19178	12315	5315	9347	4826	4241	3731	3027
remanei_genome_00016927	19395	15406	4466	13566	7274	7886	5063	3876	7088	3260	6546	5157	20955	13643	16702
remanei_genome_00016929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
