Geneid	8FG1	8FG2	8FG3	8FS1	8FS2	8FS3	8MG1	8MG2	8MG3	8MS1	8MS2	8MS3	8WM1	8WM2	8WM3
latens_genome_00022904	5	3	0	9	3	8	9	3	0	0	3	5	77	62	43
latens_genome_00022905	88	12	16	151	48	86	29	32	4	49	54	42	175	151	154
latens_genome_00022906	24	18	30	10	12	6	6	2	0	0	0	6	9	18	4
latens_genome_00022908	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
latens_genome_00022910	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0
latens_genome_00022911	4	2	8	0	0	6	0	0	0	0	0	6	4	14	0
latens_genome_00022913	68	7	30	192	54	181	158	107	23	411	255	72	1620	1118	1392
latens_genome_00022903	38	20	46	194	72	166	74	18	6	232	164	56	643	625	303
latens_genome_00022907	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0
latens_genome_00022909	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0
latens_genome_00022912	32	6	38	66	20	61	30	25	3	125	119	43	203	190	152
latens_genome_00022745	24	36	14	12	19	10	16	2	1	2	4	2	44	64	2
latens_genome_00022746	3906	4254	3380	2946	3430	2366	332	210	136	122	124	167	884	2010	996
latens_genome_00022749	8663	8449	11116	6409	7012	7241	3211	2266	1144	1679	1194	643	1102	1640	1192
latens_genome_00022750	771	660	793	480	348	395	269	179	15	130	98	29	78	154	143
latens_genome_00022752	4546	5258	5380	3320	2786	2439	954	991	347	545	514	233	789	2131	721
latens_genome_00022756	948	1052	1318	784	979	738	378	494	136	178	162	68	68	308	112
latens_genome_00022763	4228	5134	3741	3031	3201	1673	840	1357	123	432	591	68	238	1082	557
latens_genome_00022767	9851	12002	10241	7523	6981	4626	3523	4427	1219	2095	1931	691	1286	2868	1723
latens_genome_00022768	2160	3162	2028	1700	1684	948	430	710	51	306	351	80	380	670	455
latens_genome_00022770	934	972	1244	540	514	596	420	730	867	180	168	305	170	332	187
latens_genome_00022771	5289	5987	5384	3770	3650	2529	1993	3400	292	1145	1225	252	693	1717	602
latens_genome_00022772	2430	2626	1778	2024	2154	1340	316	386	426	178	372	211	276	1396	428
latens_genome_00022773	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
latens_genome_00022774	5	9	7	2	2	0	1	1	0	0	1	0	12	12	0
latens_genome_00022747	112	121	151	47	98	99	132	230	27	52	89	18	91	84	61
latens_genome_00022748	4658	5751	4585	3497	3664	3085	1343	969	893	646	611	562	615	1290	1053
latens_genome_00022751	4196	5120	3482	3217	2824	1829	754	863	157	415	565	154	608	1871	649
latens_genome_00022753	478	226	154	164	114	132	6769	10475	919	2679	2992	353	1065	406	443
latens_genome_00022754	5015	7658	6463	3810	5096	3221	4332	5057	1953	1602	1865	945	2469	2664	1288
latens_genome_00022755	5035	6493	6326	3654	4269	3401	1825	2103	609	960	877	337	1175	2181	887
latens_genome_00022757	267	264	266	198	284	222	102	211	10	80	86	8	71	103	47
latens_genome_00022759	380	380	636	213	229	290	145	166	269	90	69	112	26	160	71
latens_genome_00022761	4979	5823	6549	3435	3833	3327	1243	1238	501	606	552	341	760	1973	809
latens_genome_00022762	785	967	993	585	420	311	94	168	6	79	69	26	74	218	124
latens_genome_00022764	687	861	575	434	562	252	236	203	68	200	186	14	56	176	91
latens_genome_00022765	1675	2057	2152	1226	1290	1104	1247	1011	369	488	389	164	275	608	211
latens_genome_00022766	2020	1541	1582	1627	1314	1041	438	274	360	151	190	270	687	1334	740
latens_genome_00022769	3515	4061	3481	2495	2923	1527	899	1220	316	458	570	151	390	1144	528
latens_genome_00022775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00022758	4	2	8	4	11	5	3	5	3	2	6	1	1	3	3
latens_genome_00022760	5	3	5	2	3	1	2	4	2	0	3	0	1	0	4
latens_genome_00023056	14	10	12	7	4	14	4	4	2	4	4	0	20	12	6
latens_genome_00023058	602	806	906	468	420	458	12	10	2	2	8	22	92	274	84
latens_genome_00023057	54	51	82	28	34	11	365	525	50	44	112	30	194	70	114
latens_genome_00018645	12	0	4	0	4	6	0	0	0	0	3	0	42	8	16
latens_genome_00018646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00018648	0	3	2	12	0	2	0	0	0	0	0	0	22	16	6
latens_genome_00018649	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
latens_genome_00018650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00018652	4	10	4	12	6	0	0	0	0	0	0	0	21	22	14
latens_genome_00018656	2	6	4	16	14	34	14	8	6	66	70	20	148	184	70
latens_genome_00018657	2	0	2	10	8	6	2	0	0	0	2	4	12	41	21
latens_genome_00018658	0	10	4	46	30	38	14	2	0	30	38	26	102	107	46
latens_genome_00018659	2	18	4	28	44	42	12	8	0	82	126	20	154	94	118
latens_genome_00018660	447	172	213	1332	1086	1577	522	212	56	1584	1512	769	5475	4051	3764
latens_genome_00018661	2	6	0	14	0	0	4	6	0	36	16	26	24	26	28
latens_genome_00018647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00018651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00018653	0	0	0	0	0	0	30	54	8	36	49	6	4	6	2
latens_genome_00018654	0	2	0	20	16	26	51	88	6	213	266	30	160	119	96
latens_genome_00018655	0	0	0	2	2	12	2	2	0	8	24	2	33	6	16
latens_genome_00018663	6	0	0	96	4	46	14	72	2	1470	2836	476	498	418	192
latens_genome_00018667	0	0	0	6	0	0	0	0	0	4	1	2	0	2	6
latens_genome_00018668	2	0	0	3	0	2	0	10	0	6	30	18	0	14	4
latens_genome_00018673	8	0	6	38	2	42	95	101	6	431	753	125	634	482	482
latens_genome_00018674	4	0	6	5	0	18	63	92	12	215	307	62	334	148	181
latens_genome_00018675	2	15	2	10	4	3	4	0	0	2	9	0	6	0	2
latens_genome_00018676	110	172	198	162	176	124	116	100	24	282	337	114	795	578	412
latens_genome_00018677	28	59	38	88	60	69	23	28	8	178	270	101	501	392	340
latens_genome_00018678	16	27	12	6	24	21	4	4	4	45	42	26	104	77	61
latens_genome_00018662	18	6	6	56	68	76	28	14	8	230	406	59	142	146	104
latens_genome_00018664	18	28	24	12	2	6	16	14	2	72	74	14	44	20	30
latens_genome_00018665	0	0	2	16	10	0	8	4	0	66	50	10	60	75	34
latens_genome_00018666	14	9	12	30	22	44	37	18	6	105	123	36	175	142	144
latens_genome_00018669	4	2	0	6	4	12	36	10	0	250	296	82	252	190	154
latens_genome_00018670	0	0	0	0	0	0	0	0	0	6	0	0	0	2	4
latens_genome_00018671	6	0	0	2	4	6	35	40	0	92	122	14	56	20	24
latens_genome_00018672	0	0	0	10	0	10	10	18	4	118	165	12	242	132	110
latens_genome_00018679	138	182	181	93	104	82	36	18	6	84	83	47	656	555	357
latens_genome_00018680	44	46	52	100	76	71	28	2	0	76	86	44	142	168	131
latens_genome_00018681	1091	1332	1124	1461	1544	1478	198	91	34	482	684	329	3578	3511	2284
