,Var1,Freq,Proportion,Sex,Tissue,Hybrid,Total number of genes
1,ambiguous,3725,0.270221255,F,G,H1,13785
2,cis-only,1725,0.125136017,F,G,H1,
3,cis-trans (compensatory),633,0.045919478,F,G,H1,
4,cis + trans (enhancing),610,0.044250997,F,G,H1,
5,cis x trans (compensatory),335,0.024301777,F,G,H1,
6,conserved,5845,0.424011607,F,G,H1,
7,trans-only,912,0.066158868,F,G,H1,
8,ambiguous,4396,0.318897352,F,G,H2,13161
9,cis-only,1296,0.094015234,F,G,H2,
10,cis-trans (compensatory),190,0.013783098,F,G,H2,
11,cis + trans (enhancing),259,0.018788538,F,G,H2,
12,cis x trans (compensatory),166,0.012042075,F,G,H2,
13,conserved,6854,0.497207109,F,G,H2,
14,trans-only,624,0.045266594,F,G,H2,
15,ambiguous,4058,0.294377947,F,S,H1,13785
16,cis-only,2033,0.147479144,F,S,H1,
17,cis-trans (compensatory),626,0.045411679,F,S,H1,
18,cis + trans (enhancing),665,0.048240841,F,S,H1,
19,cis x trans (compensatory),405,0.029379761,F,S,H1,
20,conserved,5243,0.38034095,F,S,H1,
21,trans-only,755,0.054769677,F,S,H1,
22,ambiguous,4228,0.306710192,F,S,H2,13785
23,cis-only,1063,0.077112804,F,S,H2,
24,cis-trans (compensatory),194,0.014073268,F,S,H2,
25,cis + trans (enhancing),236,0.017120058,F,S,H2,
26,cis x trans (compensatory),149,0.01080885,F,S,H2,
27,conserved,7212,0.523177367,F,S,H2,
28,trans-only,703,0.050997461,F,S,H2,
29,ambiguous,3361,0.244543073,M,S,H1,13744
30,cis-only,1291,0.093931898,M,S,H1,
31,cis-trans (compensatory),1376,0.100116414,M,S,H1,
32,cis + trans (enhancing),630,0.045838184,M,S,H1,
33,cis x trans (compensatory),271,0.019717695,M,S,H1,
34,conserved,5501,0.400247381,M,S,H1,
35,Other,628,0.045692666,M,S,H1,
36,trans-only,686,0.049912689,M,S,H1,
37,ambiguous,2935,0.21354773,M,S,H2,13744
38,cis-only,1382,0.100552969,M,S,H2,
39,cis-trans (compensatory),1377,0.100189173,M,S,H2,
40,cis + trans (enhancing),524,0.038125728,M,S,H2,
41,cis x trans (compensatory),265,0.019281141,M,S,H2,
42,conserved,5916,0.430442375,M,S,H2,
43,Other,674,0.049039581,M,S,H2,
44,trans-only,671,0.048821304,M,S,H2,
45,ambiguous,3613,0.268704447,M,G,H2,13446
46,cis-only,1453,0.108061877,M,G,H2,
47,cis-trans (compensatory),1350,0.100401606,M,G,H2,
48,cis + trans (enhancing),643,0.047820913,M,G,H2,
49,cis x trans (compensatory),401,0.029822996,M,G,H2,
50,conserved,4780,0.355496058,M,G,H2,
51,Other,629,0.046779711,M,G,H2,
52,trans-only,577,0.04291239,M,G,H2,
53,ambiguous,2672,0.194383821,M,W,H1,13746
54,cis-only,1526,0.111014113,M,W,H1,
55,cis-trans (compensatory),1454,0.105776226,M,W,H1,
56,cis + trans (enhancing),636,0.046268005,M,W,H1,
57,cis x trans (compensatory),389,0.028299142,M,W,H1,
58,conserved,4528,0.329404918,M,W,H1,
59,Other,767,0.05579805,M,W,H1,
60,trans-only,1774,0.129055725,M,W,H1,
61,ambiguous,3094,0.225083661,M,W,H2,13746
62,cis-only,1998,0.145351375,M,W,H2,
63,cis-trans (compensatory),1729,0.125782046,M,W,H2,
64,cis + trans (enhancing),789,0.057398516,M,W,H2,
65,cis x trans (compensatory),586,0.042630583,M,W,H2,
66,conserved,3402,0.247490179,M,W,H2,
67,Other,832,0.060526699,M,W,H2,
68,trans-only,1316,0.095736942,M,W,H2,
