"","RegDiv","Num_of_genes","Proportion","Sex","Tissue","Hybrid"
"1","ambiguous",2518,0.238401817837531,"F","G","H1"
"2","cis-only",1465,0.138704790759326,"F","G","H1"
"3","cis-trans (compensatory)",575,0.0544404468850596,"F","G","H1"
"4","cis + trans (enhancing)",541,0.0512213595909866,"F","G","H1"
"5","cis x trans (compensatory)",277,0.0262260935428896,"F","G","H1"
"6","conserved",4383,0.414978223821246,"F","G","H1"
"7","trans-only",803,0.0760272675629616,"F","G","H1"
"8","ambiguous",3067,0.290380609733005,"F","G","H2"
"9","cis-only",1093,0.103484188600644,"F","G","H2"
"10","cis-trans (compensatory)",169,0.0160007574323045,"F","G","H2"
"11","cis + trans (enhancing)",234,0.0221548949062678,"F","G","H2"
"12","cis x trans (compensatory)",134,0.0126869911001704,"F","G","H2"
"13","conserved",5311,0.502840371141829,"F","G","H2"
"14","trans-only",554,0.0524521870857792,"F","G","H2"
"15","ambiguous",2651,0.253320592451027,"F","S","H1"
"16","cis-only",1700,0.162446249402771,"F","S","H1"
"17","cis-trans (compensatory)",547,0.052269469660774,"F","S","H1"
"18","cis + trans (enhancing)",563,0.053798375537506,"F","S","H1"
"19","cis x trans (compensatory)",278,0.0265647396082179,"F","S","H1"
"20","conserved",4067,0.388628762541806,"F","S","H1"
"21","trans-only",659,0.0629718107978978,"F","S","H1"
"22","ambiguous",2807,0.268227424749164,"F","S","H2"
"23","cis-only",891,0.0851409460105112,"F","S","H2"
"24","cis-trans (compensatory)",169,0.0161490683229814,"F","S","H2"
"25","cis + trans (enhancing)",207,0.0197802197802198,"F","S","H2"
"26","cis x trans (compensatory)",90,0.0086000955566173,"F","S","H2"
"27","conserved",5679,0.542666029622551,"F","S","H2"
"28","trans-only",622,0.0594362159579551,"F","S","H2"
"29","ambiguous",3078,0.284631033845016,"M","S","H1"
"30","cis-only",1104,0.102089883484372,"M","S","H1"
"31","cis-trans (compensatory)",912,0.0843351211392639,"M","S","H1"
"32","cis + trans (enhancing)",629,0.0581653412243388,"M","S","H1"
"33","cis x trans (compensatory)",268,0.0247826891067135,"M","S","H1"
"34","conserved",4273,0.395135934899205,"M","S","H1"
"35","trans-only",550,0.0508599963010912,"M","S","H1"
"36","ambiguous",2654,0.245422600332902,"M","S","H2"
"37","cis-only",1132,0.1046791196597,"M","S","H2"
"38","cis-trans (compensatory)",841,0.0777695579803958,"M","S","H2"
"39","cis + trans (enhancing)",522,0.0482707601257629,"M","S","H2"
"40","cis x trans (compensatory)",262,0.0242278527834289,"M","S","H2"
"41","conserved",4819,0.445626040318106,"M","S","H2"
"42","trans-only",584,0.0540040687997041,"M","S","H2"
"43","ambiguous",3071,0.293034351145038,"M","G","H2"
"44","cis-only",1223,0.116698473282443,"M","G","H2"
"45","cis-trans (compensatory)",941,0.0897900763358779,"M","G","H2"
"46","cis + trans (enhancing)",608,0.0580152671755725,"M","G","H2"
"47","cis x trans (compensatory)",353,0.0336832061068702,"M","G","H2"
"48","conserved",3754,0.358206106870229,"M","G","H2"
"49","trans-only",530,0.0505725190839695,"M","G","H2"
"50","ambiguous",2399,0.221637102734664,"M","W","H1"
"51","cis-only",1232,0.113821138211382,"M","W","H1"
"52","cis-trans (compensatory)",611,0.0564486326681449,"M","W","H1"
"53","cis + trans (enhancing)",631,0.0582963784183296,"M","W","H1"
"54","cis x trans (compensatory)",386,0.0356614929785661,"M","W","H1"
"55","conserved",4083,0.377217294900222,"M","W","H1"
"56","trans-only",1482,0.136917960088692,"M","W","H1"
"57","ambiguous",2824,0.26090169992609,"M","W","H2"
"58","cis-only",1623,0.149944567627494,"M","W","H2"
"59","cis-trans (compensatory)",785,0.0725240206947524,"M","W","H2"
"60","cis + trans (enhancing)",782,0.0722468588322247,"M","W","H2"
"61","cis x trans (compensatory)",583,0.0538617886178862,"M","W","H2"
"62","conserved",3087,0.28519955654102,"M","W","H2"
"63","trans-only",1140,0.105321507760532,"M","W","H2"
