"","RegDiv","Num_of_genes","Proportion","Sex","Tissue","Hybrid"
"1","cis-only",254,0.10241935483871,"F","G","H1"
"2","cis-trans (compensatory)",54,0.0217741935483871,"F","G","H1"
"3","conserved",1460,0.588709677419355,"F","G","H1"
"4","Other",604,0.243548387096774,"F","G","H1"
"5","trans-only",108,0.0435483870967742,"F","G","H1"
"6","cis-only",194,0.0782258064516129,"F","G","H2"
"7","cis-trans (compensatory)",18,0.00725806451612903,"F","G","H2"
"8","conserved",1541,0.621370967741935,"F","G","H2"
"9","Other",657,0.26491935483871,"F","G","H2"
"10","trans-only",70,0.0282258064516129,"F","G","H2"
"11","cis-only",326,0.133387888707038,"F","S","H1"
"12","cis-trans (compensatory)",77,0.031505728314239,"F","S","H1"
"13","conserved",1175,0.480769230769231,"F","S","H1"
"14","Other",771,0.315466448445172,"F","S","H1"
"15","trans-only",95,0.0388707037643208,"F","S","H1"
"16","cis-only",162,0.0662847790507365,"F","S","H2"
"17","cis-trans (compensatory)",24,0.00981996726677578,"F","S","H2"
"18","conserved",1531,0.626432078559738,"F","S","H2"
"19","Other",646,0.264320785597381,"F","S","H2"
"20","trans-only",81,0.0331423895253683,"F","S","H2"
"21","cis-only",177,0.0674542682926829,"M","S","H1"
"22","cis-trans (compensatory)",459,0.174923780487805,"M","S","H1"
"23","conserved",1224,0.466463414634146,"M","S","H1"
"24","Other",628,0.239329268292683,"M","S","H1"
"25","trans-only",136,0.0518292682926829,"M","S","H1"
"26","cis-only",239,0.0910823170731707,"M","S","H2"
"27","cis-trans (compensatory)",527,0.200838414634146,"M","S","H2"
"28","conserved",1097,0.418064024390244,"M","S","H2"
"29","Other",674,0.256859756097561,"M","S","H2"
"30","trans-only",87,0.0331554878048781,"M","S","H2"
"31","cis-only",222,0.0954428202923474,"M","G","H2"
"32","cis-trans (compensatory)",405,0.174118658641445,"M","G","H2"
"33","conserved",1023,0.439810834049871,"M","G","H2"
"34","Other",629,0.270421324161651,"M","G","H2"
"35","trans-only",47,0.0202063628546862,"M","G","H2"
"36","cis-only",288,0.10967250571211,"M","W","H1"
"37","cis-trans (compensatory)",839,0.319497334348819,"M","W","H1"
"38","conserved",440,0.167555217060168,"M","W","H1"
"39","Other",767,0.292079207920792,"M","W","H1"
"40","trans-only",292,0.111195734958111,"M","W","H1"
"41","cis-only",369,0.140517897943641,"M","W","H2"
"42","cis-trans (compensatory)",935,0.356054836252856,"M","W","H2"
"43","conserved",314,0.11957349581112,"M","W","H2"
"44","Other",832,0.316831683168317,"M","W","H2"
"45","trans-only",176,0.067022086824067,"M","W","H2"
