"","Var1","Var2","Freq","Sample"
"1","-1","Additive",165,"FG_H2"
"2","0","Additive",142,"FG_H2"
"3","1","Additive",92,"FG_H2"
"4","-1","ambiguous",1013,"FG_H2"
"5","0","ambiguous",642,"FG_H2"
"6","1","ambiguous",754,"FG_H2"
"7","-1","C. latens dominant",681,"FG_H2"
"8","0","C. latens dominant",415,"FG_H2"
"9","1","C. latens dominant",375,"FG_H2"
"10","-1","C. remanei dominant",491,"FG_H2"
"11","0","C. remanei dominant",406,"FG_H2"
"12","1","C. remanei dominant",388,"FG_H2"
"13","-1","no change",962,"FG_H2"
"14","0","no change",1066,"FG_H2"
"15","1","no change",1565,"FG_H2"
"16","-1","Overdominant",156,"FG_H2"
"17","0","Overdominant",1078,"FG_H2"
"18","1","Overdominant",1792,"FG_H2"
"19","-1","Underdominant",665,"FG_H2"
"20","0","Underdominant",102,"FG_H2"
"21","1","Underdominant",44,"FG_H2"
"22","-1","Additive",330,"FG_H1"
"23","0","Additive",220,"FG_H1"
"24","1","Additive",148,"FG_H1"
"25","-1","ambiguous",593,"FG_H1"
"26","0","ambiguous",564,"FG_H1"
"27","1","ambiguous",707,"FG_H1"
"28","-1","C. latens dominant",507,"FG_H1"
"29","0","C. latens dominant",369,"FG_H1"
"30","1","C. latens dominant",367,"FG_H1"
"31","-1","C. remanei dominant",488,"FG_H1"
"32","0","C. remanei dominant",406,"FG_H1"
"33","1","C. remanei dominant",386,"FG_H1"
"34","-1","no change",440,"FG_H1"
"35","0","no change",849,"FG_H1"
"36","1","no change",1410,"FG_H1"
"37","-1","Overdominant",215,"FG_H1"
"38","0","Overdominant",1137,"FG_H1"
"39","1","Overdominant",1824,"FG_H1"
"40","-1","Underdominant",1560,"FG_H1"
"41","0","Underdominant",307,"FG_H1"
"42","1","Underdominant",168,"FG_H1"
"43","-1","Additive",235,"FS_H2"
"44","0","Additive",205,"FS_H2"
"45","1","Additive",132,"FS_H2"
"46","-1","ambiguous",652,"FS_H2"
"47","0","ambiguous",595,"FS_H2"
"48","1","ambiguous",959,"FS_H2"
"49","-1","C. latens dominant",524,"FS_H2"
"50","0","C. latens dominant",367,"FS_H2"
"51","1","C. latens dominant",404,"FS_H2"
"52","-1","C. remanei dominant",514,"FS_H2"
"53","0","C. remanei dominant",472,"FS_H2"
"54","1","C. remanei dominant",453,"FS_H2"
"55","-1","no change",584,"FS_H2"
"56","0","no change",1021,"FS_H2"
"57","1","no change",1575,"FS_H2"
"58","-1","Overdominant",191,"FS_H2"
"59","0","Overdominant",861,"FS_H2"
"60","1","Overdominant",1349,"FS_H2"
"61","-1","Underdominant",1424,"FS_H2"
"62","0","Underdominant",224,"FS_H2"
"63","1","Underdominant",118,"FS_H2"
"64","-1","Additive",303,"FS_h1"
"65","0","Additive",217,"FS_h1"
"66","1","Additive",155,"FS_h1"
"67","-1","ambiguous",956,"FS_h1"
"68","0","ambiguous",599,"FS_h1"
"69","1","ambiguous",978,"FS_h1"
"70","-1","C. latens dominant",418,"FS_h1"
"71","0","C. latens dominant",328,"FS_h1"
"72","1","C. latens dominant",394,"FS_h1"
"73","-1","C. remanei dominant",609,"FS_h1"
"74","0","C. remanei dominant",500,"FS_h1"
"75","1","C. remanei dominant",468,"FS_h1"
"76","-1","no change",760,"FS_h1"
"77","0","no change",888,"FS_h1"
"78","1","no change",1381,"FS_h1"
