ScDsagR_148_HRSCAF_195	remanei_genome_00020083
X	remanei_genome_00003878
X	remanei_genome_00003879
X	remanei_genome_00003881
X	remanei_genome_00003884
X	remanei_genome_00003873
X	remanei_genome_00003874
X	remanei_genome_00003875
X	remanei_genome_00003876
X	remanei_genome_00003877
X	remanei_genome_00003880
X	remanei_genome_00003882
X	remanei_genome_00003885
X	remanei_genome_00003890
X	remanei_genome_00003892
X	remanei_genome_00003894
X	remanei_genome_00003896
X	remanei_genome_00003897
X	remanei_genome_00003898
X	remanei_genome_00003899
X	remanei_genome_00003900
X	remanei_genome_00003883
X	remanei_genome_00003886
X	remanei_genome_00003887
X	remanei_genome_00003889
X	remanei_genome_00003891
X	remanei_genome_00003893
X	remanei_genome_00003895
X	remanei_genome_00003901
X	remanei_genome_00003902
X	remanei_genome_00003888
X	remanei_genome_00003903
X	remanei_genome_00003904
X	remanei_genome_00003905
X	remanei_genome_00003907
X	remanei_genome_00003909
X	remanei_genome_00003911
X	remanei_genome_00003912
X	remanei_genome_00003913
X	remanei_genome_00003906
X	remanei_genome_00003910
X	remanei_genome_00003914
X	remanei_genome_00003915
X	remanei_genome_00003908
X	remanei_genome_00003938
X	remanei_genome_00003941
X	remanei_genome_00003944
X	remanei_genome_00003945
X	remanei_genome_00003946
X	remanei_genome_00003947
X	remanei_genome_00003948
X	remanei_genome_00003949
X	remanei_genome_00003950
X	remanei_genome_00003951
X	remanei_genome_00003953
X	remanei_genome_00003937
X	remanei_genome_00003939
X	remanei_genome_00003940
X	remanei_genome_00003942
X	remanei_genome_00003943
X	remanei_genome_00003952
X	remanei_genome_00003954
X	remanei_genome_00003955
X	remanei_genome_00003916
X	remanei_genome_00003918
X	remanei_genome_00003923
X	remanei_genome_00003924
X	remanei_genome_00003927
X	remanei_genome_00003928
X	remanei_genome_00003931
X	remanei_genome_00003932
X	remanei_genome_00003934
X	remanei_genome_00003917
X	remanei_genome_00003919
X	remanei_genome_00003920
X	remanei_genome_00003921
X	remanei_genome_00003922
X	remanei_genome_00003925
X	remanei_genome_00003926
X	remanei_genome_00003929
X	remanei_genome_00003930
X	remanei_genome_00003933
X	remanei_genome_00003935
X	remanei_genome_00003936
X	remanei_genome_00003957
X	remanei_genome_00003958
X	remanei_genome_00003960
X	remanei_genome_00003961
X	remanei_genome_00003962
X	remanei_genome_00003963
X	remanei_genome_00003970
X	remanei_genome_00003972
X	remanei_genome_00003956
X	remanei_genome_00003959
X	remanei_genome_00003964
X	remanei_genome_00003965
X	remanei_genome_00003966
X	remanei_genome_00003967
X	remanei_genome_00003968
X	remanei_genome_00003969
X	remanei_genome_00003971
X	remanei_genome_00003973
X	remanei_genome_00003974
X	remanei_genome_00003976
X	remanei_genome_00003978
X	remanei_genome_00003984
X	remanei_genome_00003987
X	remanei_genome_00003989
X	remanei_genome_00003990
X	remanei_genome_00003992
X	remanei_genome_00003975
X	remanei_genome_00003977
X	remanei_genome_00003979
X	remanei_genome_00003980
X	remanei_genome_00003981
X	remanei_genome_00003982
X	remanei_genome_00003983
X	remanei_genome_00003985
X	remanei_genome_00003986
X	remanei_genome_00003988
X	remanei_genome_00003996
X	remanei_genome_00003997
X	remanei_genome_00003999
X	remanei_genome_00004000
X	remanei_genome_00004002
X	remanei_genome_00004003
X	remanei_genome_00004009
X	remanei_genome_00003991
X	remanei_genome_00003993
X	remanei_genome_00003994
X	remanei_genome_00003995
X	remanei_genome_00003998
X	remanei_genome_00004001
X	remanei_genome_00004004
X	remanei_genome_00004005
X	remanei_genome_00004006
X	remanei_genome_00004007
X	remanei_genome_00004008
X	remanei_genome_00004010
X	remanei_genome_00004011
X	remanei_genome_00004014
X	remanei_genome_00004017
X	remanei_genome_00004018
X	remanei_genome_00004019
X	remanei_genome_00004023
X	remanei_genome_00004024
X	remanei_genome_00004028
X	remanei_genome_00004029
X	remanei_genome_00004012
X	remanei_genome_00004013
X	remanei_genome_00004015
X	remanei_genome_00004016
X	remanei_genome_00004020
X	remanei_genome_00004021
X	remanei_genome_00004022
X	remanei_genome_00004025
X	remanei_genome_00004026
X	remanei_genome_00004027
X	remanei_genome_00004031
X	remanei_genome_00004032
X	remanei_genome_00004037
X	remanei_genome_00004039
X	remanei_genome_00004040
X	remanei_genome_00004042
X	remanei_genome_00004044
X	remanei_genome_00004046
X	remanei_genome_00004049
X	remanei_genome_00004052
X	remanei_genome_00004053
X	remanei_genome_00004030
X	remanei_genome_00004033
X	remanei_genome_00004034
X	remanei_genome_00004035
X	remanei_genome_00004036
X	remanei_genome_00004038
X	remanei_genome_00004041
X	remanei_genome_00004043
X	remanei_genome_00004045
X	remanei_genome_00004047
X	remanei_genome_00004048
X	remanei_genome_00004050
X	remanei_genome_00004051
X	remanei_genome_00004061
X	remanei_genome_00004062
X	remanei_genome_00004064
X	remanei_genome_00004065
X	remanei_genome_00004066
X	remanei_genome_00004069
X	remanei_genome_00004054
X	remanei_genome_00004055
X	remanei_genome_00004056
X	remanei_genome_00004057
X	remanei_genome_00004058
X	remanei_genome_00004059
X	remanei_genome_00004060
X	remanei_genome_00004063
X	remanei_genome_00004067
X	remanei_genome_00004068
X	remanei_genome_00004072
X	remanei_genome_00004073
X	remanei_genome_00004076
X	remanei_genome_00004079
X	remanei_genome_00004081
X	remanei_genome_00004083
X	remanei_genome_00004085
X	remanei_genome_00004088
X	remanei_genome_00004090
X	remanei_genome_00004070
X	remanei_genome_00004071
X	remanei_genome_00004074
X	remanei_genome_00004075
X	remanei_genome_00004077
X	remanei_genome_00004078
X	remanei_genome_00004080
X	remanei_genome_00004082
X	remanei_genome_00004084
X	remanei_genome_00004086
X	remanei_genome_00004087
X	remanei_genome_00004089
X	remanei_genome_00004091
X	remanei_genome_00004103
X	remanei_genome_00004105
X	remanei_genome_00004106
X	remanei_genome_00004107
X	remanei_genome_00004112
X	remanei_genome_00004115
X	remanei_genome_00004117
X	remanei_genome_00004118
X	remanei_genome_00004102
X	remanei_genome_00004104
X	remanei_genome_00004109
X	remanei_genome_00004110
X	remanei_genome_00004111
X	remanei_genome_00004113
X	remanei_genome_00004114
X	remanei_genome_00004116
X	remanei_genome_00004119
X	remanei_genome_00004120
X	remanei_genome_00004108
X	remanei_genome_00004122
X	remanei_genome_00004123
X	remanei_genome_00004121
X	remanei_genome_00004124
X	remanei_genome_00004128
X	remanei_genome_00004131
X	remanei_genome_00004132
X	remanei_genome_00004133
X	remanei_genome_00004136
X	remanei_genome_00004125
X	remanei_genome_00004126
X	remanei_genome_00004127
X	remanei_genome_00004129
X	remanei_genome_00004130
X	remanei_genome_00004134
X	remanei_genome_00004135
X	remanei_genome_00004137
X	remanei_genome_00004138
X	remanei_genome_00004141
X	remanei_genome_00004143
X	remanei_genome_00004145
